,movie_id,actor,design,happy,music,plot,thrill,touched,vision
272,tt1454468,0.75,0.0,0.0,-0.45,1.21,2.33,0.0,1.26
273,tt1485796,2.89,1.53,2.16,26.19,1.17,0.0,-0.26,3.34
274,tt1605783,1.35,0.0,4.69,2.31,2.52,0.0,3.46,6.08
275,tt1683526,-1.06,0.0,0.93,1.58,0.0,-0.84,-0.47,0.25
276,tt1772341,0.0,0.0,7.85,2.21,1.74,0.0,0.97,2.08
277,tt1821549,0.42,0.0,7.53,0.0,2.99,-0.27,0.96,-0.8
278,tt2562232,3.2,0.0,1.27,3.93,3.3,-0.7,1.5,2.36
279,tt2582846,0.89,0.0,1.59,1.27,-0.24,-1.88,1.12,0.0
280,tt2802144,0.02,0.0,0.53,0.0,0.0,-0.35,-0.92,-0.92
281,tt2980516,0.11,0.36,0.0,0.0,0.61,-0.74,1.83,0.73
282,tt3829920,0.44,0.0,0.74,0.0,0.74,0.0,1.61,3.78
283,tt3896198,0.48,0.0,5.06,3.46,0.89,1.48,0.0,1.48
284,tt4080728,1.41,0.0,0.87,0.0,0.54,0.0,2.89,-0.83
285,tt4226388,0.13,0.0,2.14,3.41,1.4,1.24,0.0,1.21
286,tt5052448,0.22,0.0,3.61,1.76,-2.21,-1.94,0.0,1.84
287,tt5164432,1.71,0.0,8.14,-0.44,-0.36,-0.51,1.22,-1.27
288,tt5362988,0.5,0.0,0.0,0.09,2.37,-3.06,0.0,3.14
289,tt0026029,1.93,0.0,2.48,1.32,1.22,6.39,0.23,1.87
290,tt0032455,0.0,0.0,0.57,15.26,-0.3,-0.25,-0.48,1.59
291,tt0043456,0.0,0.0,0.76,0.0,1.2,-0.58,0.51,-0.95
292,tt0045061,0.36,0.0,3.67,0.69,1.95,-0.23,0.95,3.74
293,tt0048545,0.19,0.0,0.0,1.35,0.27,-0.15,1.66,1.04
294,tt0049366,1.58,0.49,0.0,0.45,1.57,1.99,0.0,1.58
295,tt0054047,2.13,0.0,0.0,1.98,3.28,0.0,1.44,2.61
296,tt0056197,1.08,0.0,1.37,-0.19,0.47,-2.0,0.42,4.25
297,tt0058331,2.4,0.0,4.79,16.96,1.29,0.03,0.98,1.58
298,tt0058777,-0.02,0.0,0.0,-0.32,0.67,0.0,0.0,-0.57
299,tt0059646,0.29,0.0,0.0,-0.42,-0.3,-8.05,-0.69,-0.36
300,tt0061395,0.21,0.0,3.01,0.0,0.0,-0.4,1.22,0.8
301,tt0061578,1.53,0.0,1.03,0.4,-0.73,-3.04,-0.26,-1.0
302,tt0061735,2.21,0.0,0.0,2.72,0.51,-0.91,-0.34,1.65
303,tt0066999,1.64,0.0,0.0,1.46,1.76,0.97,0.0,3.8
304,tt0067116,0.43,-0.21,0.91,0.0,0.14,2.51,0.71,3.89
305,tt0067992,10.6,0.0,2.93,6.05,1.59,0.71,1.34,2.03
306,tt0068327,2.35,1.67,1.4,39.2,4.68,-2.43,0.97,3.99
307,tt0069947,-0.1,0.0,0.0,1.06,-0.16,5.02,0.15,1.93
308,tt0070666,2.24,0.0,0.0,1.16,1.8,1.55,0.75,1.45
309,tt0071230,0.0,0.0,16.95,-0.28,1.77,-1.74,-0.27,0.0
310,tt0073312,0.83,0.0,20.17,1.1,0.53,0.0,0.98,1.94
311,tt0077651,0.0,0.61,1.42,0.97,0.0,-7.0,0.57,0.62
312,tt0079417,5.33,0.0,2.79,0.96,2.94,-0.72,1.88,1.79
313,tt0080339,2.2,0.0,15.09,0.46,1.47,-0.78,0.0,0.84
314,tt0081283,4.11,0.0,1.03,1.43,5.26,0.14,-0.83,1.6
315,tt0084855,4.41,0.0,1.1,1.4,3.37,0.0,0.0,0.29
316,tt0085794,1.6,0.0,4.13,0.78,1.14,-0.13,0.0,2.71
317,tt0086637,1.45,0.71,7.78,6.76,0.0,0.0,1.51,1.61
318,tt0087332,0.66,0.0,11.27,0.95,0.0,1.13,0.0,0.54
319,tt0088939,0.85,0.0,0.38,2.5,1.27,0.0,-0.67,2.17
320,tt0089218,0.07,0.0,-2.02,0.77,-2.92,0.43,0.74,-1.37
321,tt0090756,-0.79,0.0,0.57,2.38,0.68,-0.15,0.79,3.69
322,tt0090967,-0.88,0.0,0.36,1.56,2.03,0.54,0.93,1.63
323,tt0091042,0.0,0.0,5.11,1.31,0.85,0.0,0.0,1.14
324,tt0091605,1.49,0.14,0.0,0.0,3.91,3.3,0.76,2.72
325,tt0092965,1.19,0.0,0.63,0.0,0.01,-0.65,1.93,4.64
326,tt0092991,0.3,0.0,-2.06,2.0,-1.56,-4.89,0.0,2.51
327,tt0093389,-0.49,0.54,0.0,-0.2,-0.31,-0.15,0.62,1.71
328,tt0093773,-0.18,0.0,6.42,0.72,-0.2,3.4,0.0,0.61
329,tt0094336,2.86,-0.35,0.67,2.57,4.16,0.0,0.25,-0.55
330,tt0095647,0.62,0.0,0.91,-0.27,0.0,-0.42,0.0,0.91
331,tt0096163,0.56,0.61,0.0,-0.36,1.05,0.46,0.59,1.21
332,tt0096874,0.26,0.0,8.22,0.49,2.5,0.0,0.0,0.72
333,tt0099077,5.75,0.0,-0.49,0.99,2.47,0.0,-0.97,0.0
334,tt0100150,-0.39,0.0,0.0,0.36,1.63,0.0,0.0,3.88
